SoundName,FileNames,DirectoryBase,Volume,Pitch,PitchVariance,Priority,Channel,Flags,MinDistance,MaxDistance,DistanceCutoff,EAXFlags,InBeta,version
ArthasWhat,"ArthasWhat1.wav,ArthasWhat2.wav,ArthasWhat3.wav,ArthasWhat4.wav,ArthasWhat5.wav",Units\Human\Arthas\,127,1,0.01,1000,1,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,0,0
ArthasPissed,"ArthasPissed1.wav,ArthasPissed2.wav,ArthasPissed3.wav,ArthasPissed4.wav,ArthasPissed5.wav,ArthasPissed6.wav,ArthasPissed7.wav",Units\Human\Arthas\,127,1,0.01,1000,1,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,0,0
ArthasYesAttack,"ArthasYesAttack1.wav,ArthasYesAttack2.wav,ArthasYesAttack3.wav,ArthasYesAttack4.wav,ArthasYesAttack5.wav,ArthasYesAttack6.wav",Units\Human\Arthas\,127,1,0.01,1000,2,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,0,0
ArthasYes,"ArthasYes1.wav,ArthasYes2.wav,ArthasYes3.wav,ArthasYes4.wav",Units\Human\Arthas\,127,1,0.01,1000,3,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,0,0
ArthasWarcry,ArthasWarcry1.wav,Units\Human\Arthas\,127,1,0.01,1000,1,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,HeroAcksEAX,0,0
BloodElfEngineerWhat,"BloodElfEngineerWhat1.wav,BloodElfEngineerWhat2.wav,BloodElfEngineerWhat3.wav,BloodElfEngineerWhat4.wav",Units\Critters\BloodElfPeasant\,127,1,0.01,1000,1,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,DefaultEAXON,0,1
BloodElfEngineerPissed,"BloodElfEngineerPissed1.wav,BloodElfEngineerPissed2.wav,BloodElfEngineerPissed3.wav,BloodElfEngineerPissed4.wav,BloodElfEngineerPissed5.wav,BloodElfEngineerPissed6.wav",Units\Critters\BloodElfPeasant\,127,1,0.01,1000,1,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,DefaultEAXON,0,1
BloodElfEngineerYesAttack,BloodElfEngineerYesAttack1.wav,Units\Critters\BloodElfPeasant\,127,1,0.01,1000,2,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,DefaultEAXON,0,1
BloodElfEngineerYes,"BloodElfEngineerYes1.wav,BloodElfEngineerYes2.wav,BloodElfEngineerYes3.wav,BloodElfEngineerYes4.wav,BloodElfEngineerYes5.wav",Units\Critters\BloodElfPeasant\,127,1,0.01,1000,3,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,DefaultEAXON,0,1
BloodElfEngineerReady,BloodElfEngineerReady1.wav,Units\Critters\BloodElfPeasant\,127,1,0.01,1000,4,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,DefaultEAXON,0,1
BloodElfEngineerWarcry,BloodElfEngineerWarcry1.wav,Units\Critters\BloodElfPeasant\,127,1,0.01,1000,1,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,DefaultEAXON,0,1
BloodElfWorkerWhat,"BloodElfEngineerWhat1.wav,BloodElfEngineerWhat2.wav,BloodElfEngineerWhat4.wav",Units\Critters\BloodElfPeasant\,127,1,0.01,1000,1,"WANT3D,NODUPEUSERNAMES,CHANNELFULLPREEMPT,RANDOMPITCH",3000,10000,100000,DefaultEAXON,0,1
