alias	code	comments	version	useInEditor	hero	item	sort	race	checkDep	levels	reqLevel
AHbz	AHbz	Arch Mage - Blizzard	0	1	1	0	hero	human	1	3	1
AHab	AHab	Arch Mage - Brilliance Aura	0	1	1	0	hero	human	1	3	1
AHmt	AHmt	Arch Mage - Mass Teleport	0	1	1	0	hero	human	1	1	6
AHwe	AHwe	Arch Mage - Water Elemental	0	1	1	0	hero	human	1	3	1
ANst	ANst	Beast Master - Stampede	1	1	1	0	hero	creeps	1	1	6
ANsg	ANsg	Beast Master - Summon Bear	1	1	1	0	hero	creeps	1	3	1
ANsq	ANsq	Beast Master - Summon Quilbeast	1	1	1	0	hero	creeps	1	3	1
ANsw	ANsw	Beast Master - Summon Hawk	1	1	1	0	hero	creeps	1	3	1
AOww	AOww	Blade Master - Bladestorm	0	1	1	0	hero	orc	1	1	6
AOcr	AOcr	Blade Master - Critical Strike	0	1	1	0	hero	orc	1	3	1
AOmi	AOmi	Blade Master - Mirror Image	0	1	1	0	hero	orc	1	3	1
AOwk	AOwk	Blade Master - Wind Walk	0	1	1	0	hero	orc	1	3	1
AHbn	AHbn	Blood Mage - Banish	1	1	1	0	hero	human	1	3	1
AHfs	AHfs	Blood Mage - Flame Strike	1	1	1	0	hero	human	1	3	1
AHdr	AHdr	Blood Mage - Siphon Mana	1	1	1	0	hero	human	1	3	1
AHpx	AHpx	Blood Mage - Phoenix	1	1	1	0	hero	human	1	1	6
AUcb	AUcb	Crypt Lord - Carrion Scarabs	1	1	1	0	hero	undead	1	3	1
AUim	AUim	Crypt Lord - Impale	1	1	1	0	hero	undead	1	3	1
AUls	AUls	Crypt Lord - Locust Swarm	1	1	1	0	hero	undead	1	1	6
AUts	AUts	Crypt Lord - Spiked Carapace	1	1	1	0	hero	undead	1	3	1
ANba	ANba	Dark Ranger - Black Arrow	1	1	1	0	hero	creeps	1	3	1
ANch	ANch	Dark Ranger - Charm	1	1	1	0	hero	creeps	1	1	6
ANdr	AHdr	Dark Ranger - Drain	1	1	1	0	hero	creeps	1	3	1
ANsi	ANsi	Dark Ranger - Silence	1	1	1	0	hero	creeps	1	3	1
AUan	AUan	Death Knight - Animate Dead	0	1	1	0	hero	undead	1	1	6
AUdc	AUdc	Death Knight - Death Coil	0	1	1	0	hero	undead	1	3	1
AUdp	AUdp	Death Knight - Death Pact	0	1	1	0	hero	undead	1	3	1
