Hamg	HeroArchMage
Hblm	HeroBloodMage
Hmkg	HeroMountainKing
Hpal	HeroPaladin
hbot	transport ship
hbsh	human battleship
hdes	human frigate
hdhw	blood elf dragon hawk
hfoo	Footman
hgry	GryphonRider
hgyr	Flying Machine
hkni	Knight
hmil	Militia
hmpr	Priest
hmtm	MortarTeam
hmtt	Siege Engine
hpea	Peasant
hphx	Phoenix
hpxe	Phoenix Egg
hrif	Rifleman
hrtt	siege engine upgraded
hsor	Sorceress
hspt	Blood Elf Spell Breaker
hwat	WaterElemental
hwt2	WaterElemental level 2
hwt3	WaterElemental level 3
halt	AltarofKings
harm	Workshop
hars	ArcaneSanctum
hatw	Arcane Tower
hbar	HumanBarracks
hbla	Blacksmith
hcas	Castle
hctw	CannonTower
hgra	GryphonAviary
hgtw	GuardTower
hhou	Farm
hkee	Keep
hlum	LumberMill
hshy	human shipyard
htow	TownHall
hvlt	Arcane Vault
hwtw	Scout Tower
Obla	HeroBladeMaster
Ofar	HeroFarSeer
Oshd	HeroShadowHunter
Otch	HeroTaurenChieftain
nwad	WatcherWard
obot	orcish transport
ocat	Demolisher
odes	orcish destroyer
odoc	WitchDoctor
oeye	SentryWard
ogru	Grunt
ohun	HeadHunter
ohwd	Healing Ward
okod	KodoBeast
opeo	Peon
orai	Raider
oshm	Shaman
osp1	serpent ward 1
osp2	serpent ward 2
osp3	serpent ward 3
osp4	serpent ward 4
ospm	SpiritwalkerMorph
ospw	Spiritwalker
osw1	spirit wolf level 1
osw2	spirit wolf level 2
osw3	spirit wolf level 3
otau	Tauren
otbk	Berserker
otbr	Troll Batrider
otot	StasisTrapward
owyv	Wind Rider
oalt	AltarofStorms
obar	Barracks
obea	Beastiary
ofor	Lumber Forge
ofrt	Fortress
ogre	GreatHall
oshy	orc shipyard
osld	SpiritLodge
ostr	Stronghold
otrb	OrcBurrow
otto	Tauren Totem
ovln	Voodoo Lounge
owtw	WatchTower
Edem	HeroDemonHunter
Edmm	HeroDemonHunterMorph
Ekee	HeroKeeperoftheGrove
Emoo	HeroMoonPriestess
Ewar	HeroWarden
earc	Archer
ebal	Glaive Thrower
ebsh	night elf battleship
echm	Chimaera
edcm	DruidoftheClawMorph
edes	night elf destroyer
edoc	DruidoftheClaw
edot	DruidoftheTalon
edry	Dryad
edtm	DruidoftheTalonMorph
